sequence_length,gc_content_pct,at_content_pct,a_count,t_count,g_count,c_count,gc_at_ratio,top_kmer_freq,unique_kmers_count,is_anomaly,risk_level,mutation_type
1046,55.8,44.2,231,230,305,280,1.269,21,56,1,Medium,Single Nucleotide Polymorphism
964,59.11,40.89,197,192,316,259,1.4781,41,49,1,Critical,Frameshift Mutation
1146,50.31,49.69,299,271,288,288,1.0105,28,64,1,Medium,Insertion
1019,55.7,44.3,225,227,292,275,1.2544,21,55,1,Medium,Single Nucleotide Polymorphism
998,52.49,47.51,237,239,261,261,1.0966,17,60,0,Low,Wildtype
962,54.89,45.11,216,218,264,264,1.2166,17,62,0,Low,Wildtype
1010,52.91,47.09,237,239,267,267,1.1218,19,60,0,Low,Wildtype
906,50.32,49.68,225,227,227,227,1.0044,26,48,1,High,Deletion
1182,54.0,46.0,286,258,319,319,1.1728,28,62,1,Medium,Insertion
1028,47.94,52.06,281,254,246,247,0.9215,31,64,1,Medium,Insertion
991,51.95,48.05,238,239,257,257,1.0776,17,58,0,Low,Wildtype
1076,57.52,42.48,228,224,343,281,1.3805,52,48,1,Critical,Frameshift Mutation
938,48.38,51.62,242,244,226,226,0.93,23,45,1,High,Deletion
1045,53.75,46.25,241,244,280,280,1.1546,17,60,0,Low,Wildtype
1006,47.92,52.08,261,263,241,241,0.9198,17,58,0,Low,Wildtype
969,51.44,48.56,235,236,249,249,1.0573,23,61,0,Low,Wildtype
982,53.15,46.85,230,232,260,260,1.1255,22,61,0,Low,Wildtype
1001,54.06,45.94,229,238,276,258,1.1435,28,59,1,Medium,Single Nucleotide Polymorphism
1015,59.92,40.08,203,201,315,296,1.5124,36,61,1,Medium,Single Nucleotide Polymorphism
996,55.0,45.0,224,226,273,273,1.2133,23,59,0,Low,Wildtype
1125,52.3,47.7,282,255,294,294,1.095,33,63,1,Medium,Insertion
1015,50.85,49.15,249,250,258,258,1.0341,17,64,0,Low,Wildtype
1051,52.87,47.13,247,250,277,277,1.1147,18,60,0,Low,Wildtype
1018,52.93,47.07,239,236,279,264,1.1432,26,59,1,Medium,Single Nucleotide Polymorphism
997,57.51,42.49,211,210,298,278,1.3682,33,60,1,Medium,Single Nucleotide Polymorphism
901,51.32,48.68,219,220,231,231,1.0524,24,54,1,High,Deletion
